trackid,track_name,track_artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4ZwgD4frTwoDdOUsjyoqAJ,Dancing In The Courthouse,['Dominic Fike'],0.621,0.741,-4.479,0.0611,0.187,0,0.227,0.691,76.464
587xXusqiMW9gSXkNK8Zxf,What A Life (feat. Stevie Appleton),"['John Summit', 'Guz', 'Stevie Appleton']",0.677,0.732,-5.028,0.031,0.0113,0.227,0.0978,0.242,126.018
6vcC7pldyTPKjZJFvY3v7Q,Heartquake,"[""L'Impératrice"", 'Cuco']",0.58,0.481,-8.424,0.12,0.626,0.581,0.143,0.373,99.984
11sca0kohiR73mPDy9qhZv,All We Ever Do Is Talk,['Del Water Gap'],0.474,0.874,-5.493,0.0823,0.0461,0,0.12,0.592,153.03
3wH4eUkJ1rL5xTU8PZZyOy,Rose Colored Lenses,['Miley Cyrus'],0.539,0.503,-5.338,0.0385,0.0574,2.34e-05,0.0847,0.836,174.068
0rwrb7euyHuIUMhrsQ7A1b,Believer,['SYML'],0.685,0.359,-7.587,0.0289,0.147,2.12e-05,0.413,0.365,76.068
3l3iCfpZsxbxWJhYoiQNkD,The Feels,['Labrinth'],0.55,0.481,-4.917,0.0395,0.0215,0,0.0972,0.15,108.163
7qLr3HMApUbyDkUvgIvHnB,Oh U Went (feat. Drake),['Young Thug'],0.808,0.789,-5.88,0.236,0.0517,0,0.0819,0.465,136.01
7mMlbJlXXo2mRtQ4R9sIzD,Hide and Seek,['Imogen Heap'],0.451,0.166,-11.125,0.0696,0.909,0,0.19,0.0901,121.123
278D2oQRhZ0UHZZdsPIUDn,Honey,['Rook Monroe'],0.701,0.701,-6.353,0.0534,0.335,1.97e-05,0.222,0.413,115.009
4eMKD8MRroxCqugpsxCCNb,MOJABI GHOST,['Tainy'],0.805,0.707,-3.758,0.0353,0.142,3.71e-05,0.563,0.744,122.014
5L5n7lyXiTR2soMhCQel6n,Pineapple Sunrise,['Beach Weather'],0.692,0.787,-5.588,0.0305,0.0576,0,0.238,0.919,120.016
7z9TlbrDkEkwKAyScdDamy,Natural,['Valley'],0.631,0.72,-5.235,0.0407,0.0543,0,0.121,0.811,94.011
5ylZhwfwtqtACJ9IDYnKkA,Buzzkill Baby,['Mckenna Grace'],0.652,0.617,-4.118,0.046,0.00227,0,0.114,0.73,125.948
7DD5C8Dxq3acjvwDUCvuQQ,If I Were You,['Rosa Linn'],0.641,0.879,-5.463,0.0316,0.00725,0.00405,0.375,0.393,133.946
1cyGXol3yjiLI6UXpkI1xk,Grey Lines,['Austin George'],0.402,0.695,-4.455,0.0457,0.366,6.76e-06,0.121,0.485,200.252
2LTah3NcoIJI9WHJW3VIlC,Black Moon Rising,['Black Pumas'],0.529,0.613,-7.61,0.037,0.145,0.00538,0.141,0.732,159.414
6d4FWjx72iuRWzn1HwywLK,Colors,['Black Pumas'],0.391,0.692,-6.543,0.0462,0.0946,1.58e-05,0.191,0.56,180.008
44ZKnfWEkp7wPs035j4Tua,Casio,['Jungle'],0.816,0.492,-7.464,0.0752,0.431,0.0896,0.0995,0.765,115.989
7ro0hRteUMfnOioTFI5TG1,WHERE SHE GOES,['Bad Bunny'],0.652,0.8,-4.019,0.0614,0.143,0.629,0.112,0.234,143.978
7lrMkztvl0MnRSB2i3KRRe,Los Ángeles,['Aitana'],0.795,0.889,-5.216,0.0902,0.053,0.000237,0.113,0.421,122.023
5rJd2Xy1yk12DVmWlLTlUd,Girl Like You,['Toro y Moi'],0.63,0.823,-5.744,0.0597,0.348,0.0384,0.0801,0.397,169.963
7fddOHNASW6ONwNVjSVJgo,Walls (with Jon Bellion),['Jonas Brothers'],0.152,0.537,-5.332,0.0401,0.0466,0,0.161,0.153,79.736
1js88EFNpRfBVpn2Pd2ZwR,Americana,['Jonas Brothers'],0.663,0.864,-6.128,0.117,0.028,0.000309,0.357,0.759,88.964
3qXOcbRVwKySRfN0k6BDrf,Celebrate!,['Jonas Brothers'],0.734,0.827,-4.508,0.158,0.021,0,0.106,0.868,105.74
4GiaLqbDngWiIom7q3acCq,Sail Away,['Jonas Brothers'],0.771,0.731,-5.15,0.0395,0.102,0,0.12,0.874,124.068
7DVcgqaCDXtwZIjRTPb8bm,Wings,['Jonas Brothers'],0.7,0.728,-5.419,0.0418,0.129,0,0.12,0.3,121.06
2jpVAeVwDtvOwdyUYH3NxN,Montana Sky,['Jonas Brothers'],0.752,0.839,-5.026,0.0746,0.0363,0,0.102,0.777,131.011
7BFj9LKuwSTiBn5k73Sur3,Miracle,['Jonas Brothers'],0.644,0.838,-5.076,0.194,0.0389,0,0.144,0.889,179.956
5vOWdyk23iqRryEmbNCrCp,Side Effects,"['Becky Hill', 'Lewis Thompson']",0.769,0.831,-4.162,0.0552,0.0488,0,0.0771,0.813,120.976
2NbsBSshscKIPRG3kwBbfo,Never Felt So Alone,['Labrinth'],0.436,0.409,-4.438,0.0533,0.499,0.000166,0.38,0.363,98.357
07fbDnkKdZGk1gLvknxrns,RUNAWAY,['OneRepublic'],0.624,0.684,-5.507,0.0513,0.0336,0,0.0771,0.75,163.033
3xYJScVfxByb61dYHTwiby,Hits Different,['Taylor Swift'],0.672,0.782,-6.499,0.0421,0.148,4.73e-06,0.296,0.239,106.026
43rGLaawHXspfnWtBCoAQg,Don't Forget About Me,['d4vd'],0.667,0.418,-10.23,0.0388,0.0797,0.0365,0.131,0.306,117.735
3AAY8YicetRPlDAkibHLiS,Jaded,['Miley Cyrus'],0.496,0.593,-5.154,0.0285,0.0476,0,0.0909,0.177,91.038
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night (From Barbie The Album),['Dua Lipa'],0.671,0.845,-4.93,0.048,0.0207,0,0.329,0.775,110.056
3FyfTh70PkgooRDe4SNP0U,Summer Baby,['Jonas Brothers'],0.84,0.721,-5.627,0.0387,0.0581,3.42e-06,0.0703,0.971,116.011
0ZlTm4xJKaSU98ZLza858W,Prescription,['Remi Wolf'],0.649,0.621,-5.818,0.034,0.126,0.0267,0.143,0.74,139.988
0gWrMbx6pbdH3n3nsLjE55,Mourning,['Post Malone'],0.596,0.651,-4.604,0.0331,0.0971,0,0.279,0.255,73.959
3gTiExU1c5swfIlbiU0y27,Till The Morning (feat. Justin Park),['Gen Neo'],0.749,0.618,-5.472,0.17,0.645,2.72e-05,0.177,0.436,100.1
43tv2qJgL9OK2yp5gb4ehu,Come With Me,['Gen Neo'],0.749,0.55,-4.04,0.0594,0.423,0,0.0796,0.637,98.004
7E3E4nQdBTv2rm3uMtGFgA,What Can I Do (feat. J.Sheon),['Gen Neo'],0.614,0.559,-6.815,0.0408,0.191,0,0.145,0.54,89.973
7ouOGLgqPhs5ezGPegOT6t,Like California (feat. DeVita),['Gen Neo'],0.848,0.584,-8.787,0.194,0.671,0.0173,0.112,0.727,109.061
0VrWUtgY7j4ggyTz3XXSav,Oak,"['Nicklas Myhre', 'Christian Stähler']",0.576,0.728,-9.2,0.0781,0.167,0.712,0.128,0.495,86.027
2QqUfCa7GbxQm6gB3K4hhi,See Tình - Cukak Remix,['Hoàng Thùy Linh'],0.874,0.746,-6.197,0.0449,0.208,0.0069,0.0796,0.884,128.009
7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,['FIFTY FIFTY'],0.783,0.592,-8.332,0.0331,0.435,4.15e-06,0.347,0.726,120.018
0JmnkIqdlnUzPaf8sqBRs3,Moonlight,['Kali Uchis'],0.642,0.706,-6.872,0.052,0.518,0,0.25,0.896,136.851
1NCuYqMc8hKMb4cpNTcJbD,Another Day in Paradise - 2016 Remaster,['Phil Collins'],0.78,0.565,-7.32,0.0306,0.736,0.00269,0.063,0.365,101.967
2zO4ZLlrlmhxnNXjuLcYpc,Condena,"['Brytiago', 'Farruko']",0.572,0.527,-5.008,0.114,0.33,0,0.195,0.271,109.708
62AK7zb4DPYlyQsvlLqcEC,"Doo Uap, Doo Uap, Doo Uap",['Gabin'],0.724,0.609,-7.978,0.0359,0.0392,0.00458,0.252,0.562,114.969
4kF394GKEnI13QdZBM9mxM,Misty,['Ella Fitzgerald'],0.418,0.109,-14.113,0.0409,0.995,0.00379,0.12,0.227,116.913
2eYY43d0V17SxOX0g7sBAD,Stuck in the Mud (feat. SZA),['Isaiah Rashad'],0.568,0.714,-8.228,0.368,0.099,0.00522,0.116,0.508,150.024
7uTqmYA0sSjmDVpQNGDz7j,Lots of Nothing (feat. BENEE),['Spacey Jane'],0.551,0.865,-4.616,0.0406,0.000668,0,0.108,0.702,140.036
5ti3pAj9M9HlnXrjUiO232,Nothing Left To Give,['BAILEN'],0.756,0.59,-7.922,0.0353,0.221,4.75e-05,0.122,0.24,122.043
3rgnM3MBkpsuVeSwmtXYia,I Need That,['Peach Tree Rascals'],0.706,0.751,-5.801,0.0829,0.114,0,0.0833,0.788,172.027
1CViPSuBCYHDbqjaJU1Ot0,The Miller Family Reunion,['Mac Miller'],0.73,0.655,-5.742,0.24,0.0596,0,0.242,0.43,95.688
2bUyKAHjQ58o6gQNh5uyf1,Evergreen,['Mt. Joy'],0.403,0.882,-7.265,0.119,0.326,0.00101,0.298,0.503,161.09
