trackid,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
4ZwgD4frTwoDdOUsjyoqAJ,0.621,0.741,-4.479,0.0611,0.187,0,0.227,0.691,76.464,Alternative
587xXusqiMW9gSXkNK8Zxf,0.677,0.732,-5.028,0.031,0.0113,0.227,0.0978,0.242,126.018,Electro
6vcC7pldyTPKjZJFvY3v7Q,0.58,0.481,-8.424,0.12,0.626,0.581,0.143,0.373,99.984,Alternative
11sca0kohiR73mPDy9qhZv,0.474,0.874,-5.493,0.0823,0.0461,0,0.12,0.592,153.03,Alternative
3wH4eUkJ1rL5xTU8PZZyOy,0.539,0.503,-5.338,0.0385,0.0574,2.34e-05,0.0847,0.836,174.068,Pop
0rwrb7euyHuIUMhrsQ7A1b,0.685,0.359,-7.587,0.0289,0.147,2.12e-05,0.413,0.365,76.068,Alternative
3l3iCfpZsxbxWJhYoiQNkD,0.55,0.481,-4.917,0.0395,0.0215,0,0.0972,0.15,108.163,Alternative
7qLr3HMApUbyDkUvgIvHnB,0.808,0.789,-5.88,0.236,0.0517,0,0.0819,0.465,136.01,Rap/Hip Hop
7mMlbJlXXo2mRtQ4R9sIzD,0.451,0.166,-11.125,0.0696,0.909,0,0.19,0.0901,121.123,Pop
278D2oQRhZ0UHZZdsPIUDn,0.701,0.701,-6.353,0.0534,0.335,1.97e-05,0.222,0.413,115.009,Pop
4eMKD8MRroxCqugpsxCCNb,0.805,0.707,-3.758,0.0353,0.142,3.71e-05,0.563,0.744,122.014,Rap/Hip Hop
5L5n7lyXiTR2soMhCQel6n,0.692,0.787,-5.588,0.0305,0.0576,0,0.238,0.919,120.016,Alternative
7z9TlbrDkEkwKAyScdDamy,0.631,0.72,-5.235,0.0407,0.0543,0,0.121,0.811,94.011,Pop
5ylZhwfwtqtACJ9IDYnKkA,0.652,0.617,-4.118,0.046,0.00227,0,0.114,0.73,125.948,Pop
7DD5C8Dxq3acjvwDUCvuQQ,0.641,0.879,-5.463,0.0316,0.00725,0.00405,0.375,0.393,133.946,Pop
1cyGXol3yjiLI6UXpkI1xk,0.402,0.695,-4.455,0.0457,0.366,6.76e-06,0.121,0.485,200.252,Pop
2LTah3NcoIJI9WHJW3VIlC,0.529,0.613,-7.61,0.037,0.145,0.00538,0.141,0.732,159.414,Alternative
6d4FWjx72iuRWzn1HwywLK,0.391,0.692,-6.543,0.0462,0.0946,1.58e-05,0.191,0.56,180.008,Alternative
44ZKnfWEkp7wPs035j4Tua,0.816,0.492,-7.464,0.0752,0.431,0.0896,0.0995,0.765,115.989,Electro
7ro0hRteUMfnOioTFI5TG1,0.652,0.8,-4.019,0.0614,0.143,0.629,0.112,0.234,143.978,Latin Music
7lrMkztvl0MnRSB2i3KRRe,0.795,0.889,-5.216,0.0902,0.053,0.000237,0.113,0.421,122.023,Pop
