trackid,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label,genre
5bcTCxgc7xVfSaMV3RuVke,0.893,0.745,-3.105,0.0571,0.0642,0,0.0943,0.872,101.018,electronic dance music,Dance
4sDsOUcpA53YU5HZ8A3VZT,0.692,0.777,-5.472,0.19,0.123,3.03e-05,0.176,0.694,128.017,electronic dance music,Dance
3fDgxdcf0jeJgGiZJGUmyK,0.813,0.983,-5.515,0.153,0.00177,0.546,0.502,0.77,125.007,electronic dance music,Electro
4ua0IepBEISCWwF8dTJvcU,0.617,0.617,-6.941,0.122,3.97e-05,0.0598,0.253,0.517,127.996,electronic dance music,Dance
3wLPRjw2XQpmowqXUXb3UF,0.801,0.985,-2.69,0.0647,0.0205,6.86e-06,0.297,0.72,127.99,electronic dance music,Dance
4lqEFIB9YZl8BwR99L5H3b,0.745,0.869,-4.375,0.0444,0.00193,0,0.0799,0.814,104.015,electronic dance music,Dance
1hRFVIy9As8OVRk8B7CrD5,0.675,0.862,-4.614,0.0253,0.0165,0.000427,0.169,0.498,129.967,electronic dance music,Dance
3obAduhRTVHYojRBAINwSg,0.808,0.681,-4.558,0.187,0.0119,0,0.105,0.503,124.89,electronic dance music,Electro
6iZVQLI9gs9kFRnmbQLzHO,0.47,0.56,-9.707,0.0298,0.0449,3.83e-06,0.0774,0.29,143.987,electronic dance music,Dance
0Je3J2ml1lrnTLXXIlxrvR,0.758,0.848,-3.84,0.0456,0.207,0,0.114,0.706,127.948,electronic dance music,Electro
6pooRNiLyYpxZeIA5kJ5EX,0.643,0.594,-5.453,0.0318,0.0128,0,0.118,0.442,144.033,electronic dance music,Alternative
0RD27NcbftTkhb1NlxQMGR,0.732,0.714,-7.432,0.0791,0.332,1.05e-06,0.131,0.376,121.982,electronic dance music,Dance
421leiR6jKlH5KDdwLYrOs,0.824,0.592,-6.4,0.0969,0.693,0.000158,0.178,0.54,98.074,electronic dance music,Electro
2KtOOW1DN1D0AJTkJmfq3M,0.344,0.865,-5.84,0.222,0.0163,5.8e-05,0.105,0.205,128.07,electronic dance music,Dance
6dwVoXGSsQ1TTL5aw987pi,0.705,0.825,-2.927,0.215,0.00933,0.00511,0.221,0.269,129.855,electronic dance music,Electro
1oF75Qbv8UvOBm1imUAE51,0.612,0.84,-3.145,0.0509,0.112,0,0.116,0.438,129.042,electronic dance music,Dance
1ZuE6xOcK90eKdQ0EVC9gv,0.591,0.645,-4.062,0.045,0.0395,0.00134,0.112,0.0627,125.983,electronic dance music,Pop
3aQz0z86zrKjd1mcZlonxE,0.498,0.862,-6.02,0.0589,0.000313,0.00941,0.352,0.47,128.034,electronic dance music,Dance
6iW38RGqdDGOofmz2HeXLW,0.797,0.86,-4.38,0.0413,0.0312,0.0137,0.334,0.192,124.033,electronic dance music,Electro
70Vdd1gx5tn84jkAU31ASv,0.707,0.861,-4.225,0.316,0.1,0,0.191,0.795,130.021,electronic dance music,Electro
34NNeV9jfgNgaALgUr0u9V,0.416,0.849,-4.909,0.0455,0.00864,0.000138,0.204,0.147,125.098,electronic dance music,Dance
18cCBvygH6yEFDY0cYN3wT,0.496,0.55,-5.418,0.034,0.00755,0.0122,0.0814,0.144,90.036,electronic dance music,Electro
4NmOJQxl9UZItUQQtMDYBb,0.629,0.539,-7.006,0.063,0.166,0,0.189,0.316,109.885,electronic dance music,Electro
7MmG8p0F9N3C4AXdK6o6Eb,0.646,0.823,-4.123,0.0394,0.213,0,0.322,0.418,128.035,electronic dance music,Dance
1FZ90IoWFZlubV6bjyyEwq,0.388,0.915,-3.293,0.0462,0.000628,0.0131,0.146,0.102,127.823,electronic dance music,Dance
3v2oAQomhOcYCPPHafS3KV,0.275,0.721,-6.222,0.0359,0.000702,0.821,0.0792,0.184,125.156,electronic dance music,Dance
7A0kyzZwkyztNsNeEsTiPX,0.671,0.848,-3.202,0.0779,0.0107,0.000198,0.122,0.292,125.941,electronic dance music,Pop
4AqN8IdKCfItCSbuaFch81,0.656,0.89,-4.981,0.187,0.201,1.99e-06,0.101,0.268,100.037,electronic dance music,Electro
6VcVJ7YddkP6elt9Ym8c50,0.759,0.947,-5.261,0.0655,0.253,0.255,0.0498,0.726,123.964,electronic dance music,Dance
39umHdGKfpnjY4TFtnoQ51,0.712,0.891,-2.76,0.0401,0.00415,0,0.258,0.735,126.012,electronic dance music,Rap/Hip Hop
1i1fxkWeaMmKEB4T7zqbzK,0.532,0.869,-5.094,0.172,0.157,0.00508,0.136,0.422,159.803,electronic dance music,Electro
0pMUR7Uvp6vxlbG0qBFvgM,0.671,0.881,-6.149,0.0552,0.00185,0.65,0.285,0.785,136.95,electronic dance music,Dance
660BgHpKo1jhR9MMSFn7CF,0.791,0.795,-4.854,0.0415,0.0161,0,0.362,0.963,124.007,electronic dance music,Dance
1ld3ibWlGwo4oBFPb6pmKk,0.809,0.807,-6.491,0.115,0.0462,0.155,0.676,0.635,126.031,electronic dance music,Electro
4DBLAy03Xk88LOVtrOQ1RD,0.588,0.8,-7.875,0.0377,0.00782,0.000819,0.289,0.263,124.001,electronic dance music,Electro
6DS51XJ8iV21mAcjPxASWZ,0.744,0.956,-3.105,0.041,0.0261,0.588,0.229,0.332,127.957,electronic dance music,Electro
2iS2s9oYpEmUzrAHPmqBHy,0.816,0.601,-7.641,0.0512,0.000139,0.611,0.0636,0.729,120.008,electronic dance music,Electro
1x5sYLZiu9r5E43kMlt9f8,0.707,0.629,-4.581,0.0563,0.259,1.6e-05,0.138,0.457,122.863,electronic dance music,Dance
2BgagqJWYfrKPhz3f5V0Sw,0.693,0.834,-3.259,0.342,0.141,0.0391,0.0891,0.224,82.517,electronic dance music,Electro
6oJflQkp7lFXOQce4wPTAW,0.489,0.641,-7.011,0.032,0.00598,0.0201,0.122,0.587,108.901,electronic dance music,Dance
5NmENli4oodYuWrI0vSGK4,0.424,0.921,-3.174,0.0427,0.00118,0.00817,0.328,0.0973,174.986,electronic dance music,Electro
41KPpw0EZCytxNkmEMJVgr,0.802,0.781,-6.564,0.0368,0.0075,0.825,0.147,0.622,125.026,electronic dance music,Electro
1mv4lh1rW1K6xhxhJmEezy,0.729,0.662,-7.191,0.337,0.00128,0.208,0.305,0.359,124.149,electronic dance music,Electro
1D2Aldrksl9yWWCIPOeDzy,0.733,0.859,-5.03,0.033,0.479,0.0645,0.105,0.52,124.948,electronic dance music,Dance
