trackid,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label,genre
6HLXqdpjmTlDF3vIeuK2qH,0.726,0.887,-5.242,0.0972,0.0617,0.00478,0.326,0.517,123.965,electronic dance music,Electro
4q73adtGeqPOdE7g1Yv2DE,0.587,0.734,-5.603,0.0581,0.0183,0.0252,0.431,0.0825,131.891,electronic dance music,Dance
51VGufKIcDTooIr4WZzegi,0.72,0.604,-6.079,0.0343,0.328,0.0014,0.344,0.317,126.037,electronic dance music,Electro
7vYAXL2XncsFZB2ywlPC8Y,0.817,0.779,-6.387,0.164,0.0262,0.908,0.0995,0.603,125.04,electronic dance music,Electro
1KkJq9gUOJTgf2n0fpIDNq,0.558,0.886,-4.121,0.0891,0.616,0.0,0.122,0.579,107.995,electronic dance music,Dance
6h8oeJ62qCY0aThaKzQZqg,0.756,0.73,-5.92,0.0358,0.138,2.6e-05,0.0415,0.558,140.033,electronic dance music,Dance
5Na0G2OWXYbsxl2CSmDcCo,0.638,0.93,-3.933,0.0487,0.0217,0.0566,0.316,0.641,127.968,electronic dance music,Dance
1Wy6rp7gwaYjmm2AZDkIyk,0.666,0.867,-4.882,0.049,0.0121,0.376,0.267,0.618,125.024,electronic dance music,Electro
1Csd8iRCmc8n4jfRWLhglq,0.835,0.478,-14.437,0.049,0.124,0.00151,0.265,0.825,126.006,electronic dance music,Electro
4YCTdBLEM0GSSvRenOseC1,0.712,0.889,-7.597,0.0406,0.000143,0.243,0.0826,0.109,122.01,electronic dance music,Dance
5HRV0yHL9ioy0FvEXbI8Xu,0.615,0.91,-2.825,0.0762,0.00761,0.0067,0.16,0.346,140.0,electronic dance music,Dance
3iQNkoYyr2SffgYiTpE3v5,0.7,0.958,-2.729,0.054,0.00264,0.00704,0.18,0.163,127.893,electronic dance music,Dance
7dZ6SzqMyAGkfmtI3opvl7,0.527,0.737,-9.845,0.0333,0.0519,0.888,0.146,0.167,125.034,electronic dance music,Electro
1YAiRLR6za2IScvCnH6veq,0.499,0.953,-4.634,0.248,0.00411,5.13e-05,0.728,0.158,124.027,electronic dance music,Dance
4EzZkjmt4MDMV3WYDbFOb5,0.603,0.588,-7.539,0.0258,0.703,0.799,0.123,0.668,103.039,electronic dance music,Dance
2yrfxmcc5mLt56KTxJ3ayU,0.585,0.764,-4.178,0.0998,0.00576,0.0,0.493,0.501,144.864,electronic dance music,Pop
3zIgdTCwmCLUT8gO7cii8Q,0.636,0.886,-7.783,0.0429,0.159,0.472,0.0701,0.774,129.972,electronic dance music,Dance
45Qa6Fq056WfhXfmSYLEqE,0.632,0.696,-4.925,0.0379,0.418,1.09e-05,0.106,0.479,112.071,electronic dance music,Electro
0ywzvARVqoxQOJpaswRe9E,0.784,0.595,-6.816,0.0413,0.00476,0.00727,0.059,0.183,124.019,electronic dance music,Dance
1dv9gY3OkxWsEiXAwxNCJl,0.846,0.793,-6.548,0.238,0.0731,3.28e-06,0.142,0.347,104.925,electronic dance music,Dance
4AFeEctEUHT8laWo3KbCYl,0.663,0.681,-5.895,0.0446,0.0114,0.788,0.613,0.0602,126.979,electronic dance music,Alternative
5H51nvjSGaB5R9vRIxKmvE,0.792,0.467,-10.902,0.0385,0.361,0.806,0.111,0.273,118.986,electronic dance music,Electro
6vRCKJDtnrJEcyyzIMa0w0,0.655,0.713,-6.293,0.0501,0.338,0.0,0.0971,0.61,94.05,electronic dance music,Alternative
2pN54W5tYjuDdzm37wpNDX,0.741,0.857,-4.949,0.0418,0.0251,0.383,0.242,0.563,123.977,electronic dance music,Dance
5N7d8uxMeuO4HdncbkuhSB,0.832,0.435,-9.598,0.0604,0.479,0.553,0.0952,0.279,119.057,electronic dance music,Dance
4hDYYiWp7ALdIxX3wEfIag,0.786,0.606,-8.209,0.0469,0.011,6.12e-05,0.169,0.643,121.906,electronic dance music,Dance
6URONzHE6jQJH1AamvkAZJ,0.515,0.739,-5.876,0.0404,0.642,0.00455,0.0851,0.272,100.003,electronic dance music,Dance
3JqpIjrQfmW68YkpxXWPL4,0.631,0.862,-4.114,0.0515,0.0149,6.23e-05,0.103,0.438,145.01,electronic dance music,Dance
71JbTl4uCu1T4WO2AYvSWz,0.467,0.895,-5.725,0.0344,0.00365,0.0622,0.388,0.546,124.978,electronic dance music,Electro
4jtcZfpP2EnqJKEgjWqiy0,0.86,0.529,-11.739,0.227,0.0151,0.74,0.48,0.126,117.624,electronic dance music,Dance
06UTNpD2xn3AhVzkonMZ65,0.707,0.824,-4.686,0.258,0.0592,0.365,0.0619,0.577,125.07,electronic dance music,Dance
2NdZazNFlGlyjnpHbuVV91,0.38,0.444,-8.177,0.0282,0.844,0.744,0.234,0.12,72.555,electronic dance music,Electro
0TJYxhtGOaUzFtCgU4dWGo,0.605,0.456,-12.722,0.0928,0.672,0.674,0.106,0.295,115.992,electronic dance music,Electro
2mcqRj62kDUlvC7xGVXJmO,0.698,0.929,-6.513,0.0845,0.000413,0.817,0.315,0.347,126.041,electronic dance music,Electro
3QVvtX2g7L46TsCdxt1qRA,0.819,0.664,-10.596,0.0862,0.458,0.596,0.9,0.333,120.006,electronic dance music,Electro
5JoeRqMR7eFtC8uikuOWB4,0.666,0.765,-5.431,0.0389,0.0777,0.000141,0.0625,0.536,110.049,electronic dance music,Electro
47OVJBeRysyaJiaEuR3T6Y,0.472,0.714,-6.664,0.0332,0.187,1.2e-05,0.349,0.129,144.858,electronic dance music,Dance
2bHhACbKQkrpJu09dSt1hc,0.477,0.724,-6.486,0.0389,0.00222,0.0952,0.129,0.0775,74.952,electronic dance music,Dance
5i7fZq3chLyCHo3VeB6goD,0.429,0.948,-3.657,0.227,0.00711,0.0148,0.0812,0.55,115.785,electronic dance music,Dance
6OiYWyMYmjk1gUszXYC8rZ,0.539,0.934,-4.519,0.0437,0.0143,0.293,0.756,0.273,123.954,electronic dance music,Dance
5KkSRdbyIT2JbWPUxiaFXe,0.451,0.786,-8.22,0.0617,0.0661,0.0332,0.0663,0.137,103.562,electronic dance music,Electro
3ozTDoLfbvTSG3vNpaEnCp,0.831,0.748,-6.521,0.11,0.0033,0.0639,0.289,0.768,123.996,electronic dance music,Electro
17zdyEVw9oe9FBDevjOl5c,0.659,0.76,-12.506,0.0381,0.176,0.109,0.135,0.0519,122.0,electronic dance music,Electro
1kyfNUGFIVxIhLjEx1b3fE,0.65,0.927,-6.133,0.0428,0.0089,0.000251,0.187,0.215,110.919,electronic dance music,Electro
1NT0GM48rhAQLYXQbCj5oH,0.629,0.79,-5.384,0.0327,0.23,0.0,0.114,0.201,107.006,electronic dance music,Dance
1dwO3JXH2Orlq9dx3qX5tX,0.772,0.717,-7.179,0.0392,0.235,0.000212,0.0737,0.492,119.987,electronic dance music,Electro
66LNyfDQyuCVgczVJEdbRl,0.739,0.795,-7.248,0.0363,0.00693,0.0236,0.111,0.543,124.999,electronic dance music,Rap/Hip Hop
0j8kpwZMWUvKCIlfyAEXRt,0.56,0.277,-23.679,0.037,0.55,0.899,0.204,0.1,112.201,electronic dance music,Pop
